Package,Version,Analysis
sdk-api,2.0.0,malicious
cors.js,2.8.5,malicious
cors-2.8.5,2.8.5,malicious
sdk-coin-bch,2.0.0,malicious
eslint-plugin-automation-custom,19.0.0,malicious
test-package-dependencyconfusion,1.0.4,malicious
vanshpkgg,2.0.0,malicious
vanshpkg,2.0.0,malicious
touching-fish,0.0.1,malicious
testherejson,1.0.11,malicious
securityrele,0.0.8,malicious
t3dcar,1.1.0,malicious
debug-common,1.1.1,malicious
market-apps-list,0.0.0,malicious
redzone,3.0.0,malicious
ysfoxx,1.999.99,malicious
who_ask,9.9.9,malicious
sofa1-shop,9.9.9,malicious
packyourbag,9.9.9,malicious
yf_hello_world,1.0.4,malicious
ws-ui-tool,19.0.0,malicious
t0604nodule,1.0.1,malicious
evil-npm-packagee,1.0.3,malicious
cute-free-tiktok-fans-and-likes-booster-2022,1.0.0,malicious
get-free-cash-app-money,1.0.0,malicious
niodependencytest,1.0.2,malicious
@aviationpast/niotest,1.0.17,malicious
likeappa,1.0.3,malicious
cyb-core,9.9.9,malicious
pia6-4,1.1.1,malicious
@domoskanonos/workboy,1.0.23,benign
globalshut,1.0.0,benign
chromecast-client,1.0.0,benign
quontral,1.0.16,benign
koishi-plugin-rsshub,0.0.3,benign
element-via,2.1.12,benign
gis3d,1.0.6,benign
bdmp-ui,2.2.5,benign
@worldsky/weather,1.0.2,benign
commitri,1.0.2,benign
codezist,1.0.0,benign
panel-shared,0.0.36,benign
notify-qq,0.0.2,benign
easy-waf,0.3.1,benign
@gun-vue/composables,0.12.0,benign
imask-module,0.0.3,benign
payload,1.1.3,benign
notar-cli,1.2.1,benign
zenstack,0.5.0,benign
voidkit,0.0.17,benign
handle-sdk,0.5.8,benign
upload-image-plugin,3.0.0,benign
jfrog-cli-v2,2.31.0,benign
create-ibl-app,0.2.5,benign
testing-roundpe-sdk,0.0.3,benign
vo-core,1.2.3,benign
@tranzit/front-notes,1.0.5,benign
@aws-amplify/core,4.7.13,benign
sciola,1.0.5,benign
demo-easy-code,0.1.124,benign
imongo,1.0.11,benign
ysofx,1.999.99,malicious
redeem-free-cash-app-money,1.0.0,malicious
cute-free-tiktok-followers-and-likes-booster-2022,1.0.0,malicious
likesecapp,1.0.2,malicious
likesec,1.0.2,malicious
test1221-npm,1.0.0,malicious
testername,1.4.11,malicious
sock-2,1.0.2,malicious
socket-first-level-dep-1,1.0.0,malicious
stale-props,0.0.2,malicious
sportlifejs,1.1.2,malicious
gramin-chat1,1.0.0,malicious
real-free-tiktok-fans-likes-and-followers-2022,1.0.0,malicious
@mrfakename/multiminer,0.1.10,malicious
@mrfakename/eazyminer,0.1.19,malicious
node-monero-miner,0.2.4,malicious
eslint-config-opentable-es5,1.1.1,malicious
mihail6labm0603,1.0.0,malicious
peter-parker-spider-man-no-way-home-2021-online,2.0.0,malicious
islands-specific,137.0.0,malicious
@productplan/atlas-tokens,0.1.0,benign
database-context-pg,0.0.5,benign
atm-by-frank,1.2.0,benign
@farfetch/blackout-react,0.47.1,benign
xterm-addon-serialize,0.9.0,benign
timp-validate,1.0.7,benign
easy-tailwind,1.0.0,benign
flow-bin,0.196.1,benign
ts-interpreter.js,1.0.1,benign
laravel-vue-i18n,2.3.2,benign
@cronvel/ms-kit,0.1.2,benign
@tybalt/validator,0.0.8,benign
clevy-test,0.1.0,benign
uicore-ts,1.0.87,benign
route-event,4.1.6,benign
yeap,1.3.0-beta.1,benign
2450yuanzhik,1.0.0,benign
cornsol,1.0.2,benign
saferme-ui-react,1.0.1-0,benign